Date,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
01/01/2015,23.85039919,20.32849991,17.98595805,14.28374903,15.63359518,19.47052775,9.477395247,16.12919337,21.03561219,27.34658589,30.61927362,33.56955933,31.95662852,29.66329742,27.15979614,26.58281931,28.72283985,32.60427253,34.43173555,34.5145989,28.65067528,29.80564869,27.68433609,14.01540186
02/01/2015,1.434432561,-8.356552737,-16.32185317,-15.44319713,-11.62669959,1.850877021,11.54081233,16.80546999,18.16594384,14.2958897,10.47316256,7.755488279,10.01901366,5.297930699,6.906805113,10.50584723,18.91618344,29.86190565,28.11500252,27.33987242,23.38104703,19.39830211,14.81377398,12.07657864
03/01/2015,2.435385161,-5.657173717,-11.38270151,-11.4085942,-12.21401115,-12.45884161,-17.51971411,-12.29388449,-13.80496291,-7.505109884,0.318139283,1.774860246,11.53926236,12.70956731,17.69190643,21.8106242,25.38304558,34.14147964,36.15948964,32.15828001,25.91408762,19.71743883,21.11482198,12.14760013
04/01/2015,2.5714519,-1.515395227,-10.23421277,-10.62532095,-6.809405202,-9.872805681,-27.20174633,-10.27711713,-3.969803895,4.448209268,9.976809084,14.43397257,16.2819694,14.22472672,14.4556367,14.73773252,18.16229662,27.88392937,30.77181673,31.42535033,26.98764331,21.31788657,26.61266032,19.50899604
05/01/2015,16.35318243,14.5051389,12.04561408,10.3668744,11.88410992,16.85794084,29.4866402,39.05369829,41.62823829,43.89367898,43.62211517,44.92911885,44.27046294,43.96275271,45.09959438,45.87577796,48.22757559,53.6284286,58.04154552,58.51039925,50.42618746,44.02220585,40.5256362,33.31068944
06/01/2015,31.52218668,30.08564462,29.80276352,28.37887236,28.96212121,31.04535349,37.92012501,49.89638164,52.58683498,51.28941021,48.41395737,46.86959655,44.76784048,43.85320743,43.93592028,44.94140478,48.16295269,55.8228411,55.03965515,47.28640518,43.03386045,36.03329167,33.54757936,28.91089098
07/01/2015,24.81329351,24.34216318,24.96509954,24.5214073,24.91576689,26.87664872,31.92271584,39.50441727,43.39030757,43.56208948,42.78420257,43.36958906,41.51610431,41.09814876,40.46258704,40.36987179,42.54262186,48.63923747,46.75924111,41.6590889,34.01911071,23.8627605,20.24744686,20.04653374
08/01/2015,19.42226135,17.92660123,15.96805624,14.90678081,15.53856394,20.2154958,25.99509059,33.32485699,33.3578315,29.94769711,28.50611904,30.82402984,30.50372681,31.89756892,32.73641135,33.71319136,34.71720951,41.13473315,40.96668042,39.40332968,29.99564835,25.00334782,23.76336818,16.5420776
09/01/2015,12.11594689,8.710655502,5.265967184,5.04809255,8.559089757,14.03345787,23.4655712,34.88592449,35.84481754,29.35913567,24.87839083,22.73428514,21.20832392,19.11262769,17.45004708,18.57403033,22.00288854,30.60536705,30.87404676,27.51317437,23.67442881,20.6634305,20.99812859,8.738666429
10/01/2015,15.62524944,10.90102145,10.17068067,10.65230997,11.05945356,10.12105276,5.277237047,8.92706385,12.07970576,13.88517938,13.09434357,11.22629777,11.74656809,9.971868858,7.744186475,8.248852512,16.86862514,26.73046777,28.8405085,25.68032998,19.26612038,10.52825063,13.77212116,3.004999278
11/01/2015,-0.687747072,-8.015083523,-5.235222697,-4.04969229,-3.327032855,-7.787587671,-12.48156978,-12.34047916,-11.18137906,-13.20921118,-10.39955963,-7.052080325,-7.60750445,-12.57822763,-13.32219744,-12.96453994,-3.002932807,8.253799061,12.95518469,15.02907503,11.80108372,9.776373949,14.52369366,6.605859897
12/01/2015,1.649067212,-1.513830153,2.129437589,1.826203034,4.644943597,11.23974097,25.77140698,36.40587052,36.61418699,31.88484601,28.70972466,27.53559311,26.0708047,25.43328219,25.4011114,26.15805084,28.00877486,34.50252439,39.22264292,38.46752959,33.34143578,28.05415132,22.3398754,13.62856638
13/01/2015,10.97039189,10.89837836,10.29273415,10.92235039,13.29210863,16.16564788,24.22589621,35.20926796,36.05632115,29.47574553,23.77705983,21.90305318,19.62500221,20.86776199,23.02900441,26.05873618,30.09615219,36.91049413,41.05735148,36.88103428,30.89899282,26.02998105,22.51170308,17.62862937
14/01/2015,18.05257337,17.31385021,16.94406174,16.88753142,18.03802765,19.99525503,27.79111654,37.35875499,38.56747316,34.38771825,31.11804382,30.78050293,31.14774638,32.14359183,33.70956292,35.64676582,36.96295919,43.21124466,43.7052382,39.26496682,33.76771012,28.65987734,27.45013934,21.99479577
15/01/2015,18.70610886,16.43774694,14.65684937,13.63891747,15.42963681,18.73327915,27.04546576,37.14325063,38.38396871,32.52506205,29.26345718,28.27586915,25.48215578,25.61781537,26.02309278,27.60186028,29.83399328,37.43746993,38.65873693,35.41343124,29.58709727,24.56396093,22.86610284,15.98028328
16/01/2015,12.01184971,12.03785233,11.02937629,12.63267901,13.60844711,16.80619796,25.40921241,33.76372938,33.43024468,30.32903053,31.78625927,34.84367143,37.12931627,38.27182036,40.05055702,42.42019258,44.38880636,50.46786498,53.82429941,49.70115481,43.29367179,38.66048428,38.19748195,32.89606425
17/01/2015,26.69974571,25.71479447,24.73064271,24.14543057,24.16839113,22.95279286,19.25124022,22.9750741,28.29227303,32.69462251,33.60746418,34.56987336,33.31507903,28.96279097,26.71811515,26.81601094,30.48920251,37.3552711,35.52898577,28.15271388,22.99532588,15.95411435,20.97014054,15.74289672
18/01/2015,22.27932589,18.1710764,16.98295357,16.05346174,16.62150015,13.81172412,8.280217079,11.46849563,11.45896292,18.55470209,20.92621035,25.38277969,27.16660598,26.70163525,27.53908591,28.88317614,32.14099994,40.4499264,47.19208553,43.96040904,37.01914405,33.91505389,35.81469334,30.41740344
19/01/2015,28.5152056,27.80172185,27.64548644,27.24262402,27.29528002,29.34040563,38.40496018,52.17431806,53.59982907,49.73688971,48.38371135,47.58294622,46.21402824,45.43949307,44.68134839,45.48474181,46.59424241,53.15236409,60.31257089,53.92195318,47.1011926,40.48146795,37.19132101,32.0156617
20/01/2015,31.18941193,30.78130555,30.40333672,30.98072571,31.55711715,31.65501491,39.51583211,51.83160966,53.64922964,51.38315439,49.96140681,49.89680559,47.96057507,47.89539535,46.2019346,46.76093761,48.49066336,54.66083622,59.93538216,54.49633701,46.81614628,40.57089641,37.47426461,31.03733195
21/01/2015,34.99169545,34.29730803,33.52365364,32.99759979,34.42417728,35.16041319,42.04066352,54.79437721,57.71825692,54.02311241,50.57254248,48.60754351,45.62920606,46.18099932,46.35662644,47.69658496,50.94220807,58.06832588,61.91261511,54.22564082,46.05348426,39.67528365,37.0423669,31.78360884
